Name,Entropy,C Size,Number of Threads,Elements Per Second,Total Time,Percentage Speedup vs Maximum
Parallel Merge Sort using Serial Merge,28,100000000,1,"2,625,652",38.08576584,
Parallel Merge Sort using Serial Merge,28,100000000,2,"5,229,566",19.12204552,99.59%
Parallel Merge Sort using Serial Merge,28,100000000,4,"9,938,751",10.06162643,94.63%
Parallel Merge Sort using Serial Merge,28,100000000,8,"19,709,458",5.07370615,93.83%
Parallel Merge Sort using Serial Merge,28,100000000,16,"39,682,164",2.520023823,94.46%
Parallel Merge Sort using Serial Merge,28,100000000,24,"46,269,164",2.161266565,73.42%
Parallel Merge Sort using Serial Merge,28,100000000,32,"76,397,432",1.308944464,90.93%
Parallel Merge Sort using Serial Merge,28,100000000,40,"58,315,916",1.714797735,55.53%
Parallel Merge Sort using Serial Merge,28,100000000,48,"77,313,904",1.293428421,61.35%
Parallel Merge Sort using Serial Merge,28,100000000,64,"148,839,568",0.671864331,88.57%
Parallel Merge Sort using Serial Merge,28,100000000,72,"58,300,272",1.715257883,30.84%
Parallel Merge Sort using Serial Merge,28,100000000,128,"180,117,248",0.555193901,53.59%
Parallel Merge Sort using Serial Merge,28,100000000,144,"67,793,200",1.475074172,17.93%
Parallel Merge Sort using Serial Merge,28,100000000,180,"64,771,508",1.543888688,13.70%
Parallel Merge Sort using Serial Merge,28,100000000,256,"212,995,872",0.469492674,31.69%
Parallel Merge Sort using Serial Merge,28,100000000,270,"65,504,956",1.52660203,9.24%
